e,0.1599284975986358
n,0.09588346563675158
r,0.07705646551730984
i,0.07600017886384124
t,0.06427792277109229
s,0.06410246803153259
a,0.06339396809843473
d,0.049241581147496126
h,0.04105239917540454
u,0.03760394641413845
l,0.03718535086900752
g,0.030182712409080298
o,0.027534584896212407
m,0.02750201203722359
c,0.027051453057302537
b,0.022069482629099604
f,0.018009929752591074
k,0.0149656516581655
w,0.01403096674312394
z,0.01219367488500303
p,0.010584531348841832
v,0.00943865717708619
ü,0.006338769124529604
ä,0.005409432879317023
j,0.0027214669608077776
ö,0.002393299593585483
ß,0.0014981699828731162
y,0.0012640462782559814
x,0.0007168492607278728
q,0.000368065202528415
